title,No,Yes,total_bets
Will Alex Bores win the NY-12 Democratic Primary by less than 5%?,540,0,540
Will the U.S. invade Iran before 2027?,366,123,489
Will Ronaldo Cry at the World Cup?,287,169,456
Tyler Robinson convicted of homicide?,248,116,364
Will Google have the best AI model at the end of July 2026?,35,272,307
Will the Liberal Democratic Party of Russia (LDPR) gain the most seats in the next Russian parliamentary election?,67,237,304
Will Uhlsport be the brand of gloves worn by the Golden Glove winner at the 2026 FIFA World Cup?,0,236,236
"Will OpenAI release a new frontier model on or before September 30, 2026?",197,0,197
Will Pope Leo XIV be TIME's Person of the Year for 2025?,0,188,188
Will Alex Bores win the NY-12 Democratic Primary by 5% or more?,2,181,183
