title,percent
France winning the World Cup,28
Strait of Hormuz traffic returning to normal,25
Ronaldo crying at the World Cup,23
Argentina winning the World Cup,21
US-Iran diplomatic meeting by July 31,20
Mitch McConnell stepping down,20
Mojtaba Khamenei seen in public by July 15,18
Count Binface winning election,17
Iran withdrawal from MOU negotiations,17
Spain winning the World Cup,15
Iran agreeing to end uranium enrichment by June 30,15
Argentina winning against Egypt,15
US blockading Iran by July 31,15
US-Iran negotiations,14
Maine Senate Democratic nominee,14
Iran full airspace closure,14
US confirming that aliens exist,14
France winning quarterfinals,14
US-Iran permanent peace deal by June 30,14
