,ai_guess,total_bets,total_money,percentage of bets,percentage of USD
0,crime,496,64603.622684006696,24.13453111305872,1.9338009542857053
1,crypto_currencies,2247,85099.55069604171,16.929593923458956,2.5473121399123984
2,elections_global_and_domestic,4636,648498.9482609412,14.859041776219689,19.41172697287055
3,gaming,440,50369.29077285909,8.95048203330412,1.5077201326569338
4,geopolitics_except_elections,1173,160561.66001787657,8.205521472392638,4.806143656726124
5,other,1218,54781.74821009898,6.711948583114228,1.6397996360714067
6,political_issues_except_us_elections,1838,245249.47914689165,6.324861232836692,7.341131303612487
7,pop_culture_and_entertainment,1732,103400.93296516844,4.447852760736196,3.0951332840902186
8,sports,6609,1024547.0746978685,4.283523225241017,30.668096129102224
9,tech,2451,280863.6307630991,1.8112766579024249,8.407181124353382
10,usa_iran_conflict,4069,594224.7977165822,1.7345895413380077,17.787121420499407
11,war_events,475,28557.91561600771,1.6067776803973124,0.8548332458191693
