,side,market,wallet,shares,yes_no_index,pseudonym
0,YES,tyler-robinson-convicted-of-homicide,0xa7a6cd5399040aa661ee595f4421337d80188117,10515.915772,0,Unsteady-Drake
1,YES,tyler-robinson-convicted-of-homicide,0xf44dcf50490507a44a6244dc07f50686e71060af,6140.58,0,Recent-Eveningwear
2,YES,tyler-robinson-convicted-of-homicide,0x44fccfc4f7653fc79c386d1bcb2181d730a4ac29,4881.27,0,Clean-Windscreen
3,YES,tyler-robinson-convicted-of-homicide,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,3294.142968,0,Hideous-Racer
4,YES,tyler-robinson-convicted-of-homicide,0xfc1490c043e5ed6ec2ce7ea003e6b540b0eb2e9b,3190.09,0,Bountiful-Clinic
5,YES,tyler-robinson-convicted-of-homicide,0xd816393119a297874bff7304b9e222101f5a6c0f,2748.266036,0,Ajar-Alarm
6,YES,tyler-robinson-convicted-of-homicide,0x7e31a5e9c31638483614e9fd9f945bb34692454d,2500.0,0,Unlucky-Pounding
7,YES,tyler-robinson-convicted-of-homicide,0x0b644e443a404159a7b5ca4650cf2444b13549bd,1999.995923,0,Homely-Amenity
8,YES,tyler-robinson-convicted-of-homicide,0xc22e6f366c977b213b0e0ea2583072aadaba54eb,1378.064439,0,Academic-Sherbet
9,YES,tyler-robinson-convicted-of-homicide,0x0f2bcf469f85fe746058f3a0767d24124d0d665a,999.969991,0,Light-Hygienic
10,YES,tyler-robinson-convicted-of-homicide,0xf17cd97d0316fd7c57b38db85a35548fd8a70c29,974.389077,0,Snappy-Warden
11,YES,tyler-robinson-convicted-of-homicide,0xe6fd18067d9b8768ee4dc45e926cf54867288bc3,800.0,0,Easy-Koala
12,YES,tyler-robinson-convicted-of-homicide,0xd5b97d08ec6098407bfbf66c2786ccc9967fe44e,736.430965,0,Trained-Sniffle
13,YES,tyler-robinson-convicted-of-homicide,0x32d1623dddbd4841a98da71e47f0436d2ef2b949,704.99,0,Dear-Hypothesis
14,YES,tyler-robinson-convicted-of-homicide,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,635.655003,0,Kaleidoscopic-Hemisphere
15,YES,tyler-robinson-convicted-of-homicide,0x3052776d06122dde8e1a86f2ed9defb97940232a,602.533332,0,
16,YES,tyler-robinson-convicted-of-homicide,0xae2b0aaea325a32870f56ff19df3b87acaa190ea,576.014317,0,Crowded-Jackal
17,YES,tyler-robinson-convicted-of-homicide,0x15fbd312f1925882ef83ba5aa69d7e2e5f6b252d,558.123639,0,Loving-Conclusion
18,YES,tyler-robinson-convicted-of-homicide,0xc7d02944a76b9f83b199e9090ecc92c82d241f8a,545.61,0,Flamboyant-Warming
19,YES,tyler-robinson-convicted-of-homicide,0xeca0c0888e34df59589c67fbe53dc7f298b5e8f8,516.976629,0,Weird-Freedom
20,YES,tyler-robinson-convicted-of-homicide,0x38a51237d1e26afdde983bac60ec5d86fc995eb9,416.666665,0,Altruistic-Subcontractor
21,YES,tyler-robinson-convicted-of-homicide,0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c,398.1773,0,Frozen-Car
22,YES,tyler-robinson-convicted-of-homicide,0xf9b71663d723d28fa455db659098e1dacde860a4,374.329392,0,
23,YES,tyler-robinson-convicted-of-homicide,0x60221d6a1330a615d8420110b71b1eb505e233ee,362.209301,0,Icy-Proceedings
24,YES,tyler-robinson-convicted-of-homicide,0x8212525bb2d892eb760f4f188870f923de3d5933,224.155332,0,Yawning-Program
25,YES,tyler-robinson-convicted-of-homicide,0xe1a6864952783191f34a0dc1e36e4e16a5210ac6,212.765956,0,Big-Run
26,YES,tyler-robinson-convicted-of-homicide,0x0f1c6db140e7b58c85115f2c48ce1c6fa47e3a66,207.673912,0,Worse-Intervention
27,YES,tyler-robinson-convicted-of-homicide,0x2843d543c60a54106f572ab74f0e2e04f293b3d2,200.0,0,Sorrowful-Samovar
28,YES,tyler-robinson-convicted-of-homicide,0xb8d8bc6acbe4b4596750b8ccd0f227eb7bd366a7,180.0,0,Proud-Buzzard
29,YES,tyler-robinson-convicted-of-homicide,0xa772ddd6bd310ce94a85a5d0ab78aeb74d47797a,173.450504,0,Frail-Result
30,YES,tyler-robinson-convicted-of-homicide,0x7fa57a9732ae359a7adf13056e6990b52ab461ff,170.212763,0,Impure-Woodshed-Suffocation
31,YES,tyler-robinson-convicted-of-homicide,0xed19489cfbf7e0002147a2556e956d8ac909cb5e,128.216863,0,Frivolous-Charm
32,YES,tyler-robinson-convicted-of-homicide,0xf665e699c46c2ba53d9857357abaf1481ffdb45e,123.0,0,Agitated-Mobile
33,YES,tyler-robinson-convicted-of-homicide,0x1e34fd6aa3b46e4f4d6b97a1491b726291adb86f,120.0,0,Powerless-Email
34,YES,tyler-robinson-convicted-of-homicide,0x932074c73880b857fcce6eda97f0d25d5a2649c6,106.382977,0,Low-Hamburger
35,YES,tyler-robinson-convicted-of-homicide,0x3d6c091b9b9b88c8aba5b0b460d75be9ba84cde7,106.31979,0,Sleepy-Underneath
36,YES,tyler-robinson-convicted-of-homicide,0x28e25eec62456c2665f77ef62a6105677a0db877,104.166665,0,Worn-Lieutenant-Adobe
37,YES,tyler-robinson-convicted-of-homicide,0xc2ae0663bfc0793f9f6e0e78adb802a3c7d5fbf2,102.234041,0,Sociable-Lemon
38,YES,tyler-robinson-convicted-of-homicide,0x1ceaabf230a848b4f41b721a2fef98bc597f181d,102.040815,0,Intelligent-Precision
39,YES,tyler-robinson-convicted-of-homicide,0x6dc9cf1b33a75001fd74015f4ed93ca89c1db678,102.040815,0,Instructive-Commodity
40,YES,tyler-robinson-convicted-of-homicide,0x30de156a425f2775918851ef0b0b8f8a2e631f9d,100.0,0,Threadbare-Lunchroom
41,YES,tyler-robinson-convicted-of-homicide,0xdab5fee80ee03e560bb7acb693394a13a669250f,100.0,0,
42,YES,tyler-robinson-convicted-of-homicide,0xe8a68017820cc850b4d13cfd8a165eb438b4644b,100.0,0,Precious-Physical
43,YES,tyler-robinson-convicted-of-homicide,0xf1b06b1c5f0ff9a675943d37be97c06ed2544d1e,100.0,0,Needy-Accountability
44,YES,tyler-robinson-convicted-of-homicide,0x9d16a31d46fe2e9d6a86b986408ad5bf884afe0e,98.264274,0,Feline-Doc
45,YES,tyler-robinson-convicted-of-homicide,0x96d7e95bd21340c17eb0a245c1ed4b8849d045bd,84.210525,0,Incomplete-Jellyfish-Plane
46,YES,tyler-robinson-convicted-of-homicide,0x1f451df45d88896731b0d3b98dd3e067f34497ce,82.195453,0,Loud-Gerbil
47,YES,tyler-robinson-convicted-of-homicide,0x4f3eb1fc274c703e99cf5294e747791dc8579f2d,81.799346,0,Pointless-Planula
48,YES,tyler-robinson-convicted-of-homicide,0x3b992853edf72245e9f826821c4100328b1b424f,78.723403,0,Meaty-Torso-Threat
49,YES,tyler-robinson-convicted-of-homicide,0x22a2e8b9fb4c87ac0abfe1fec01769fb9f4808fb,77.272726,0,Astonishing-Avocado
50,YES,tyler-robinson-convicted-of-homicide,0x0077b995ba70487753b2fe07fce08149f6bd1a8d,70.0,0,Noted-Scrim
51,YES,tyler-robinson-convicted-of-homicide,0x184e72a92bbba50440433b6c7970dc6ac2103a48,54.166665,0,Key-Easel
52,YES,tyler-robinson-convicted-of-homicide,0x7e5b0f8ea02aacdbc3260fd5a4368e3c1aff8d94,53.191488,0,
53,YES,tyler-robinson-convicted-of-homicide,0xcd8ff15e682ac6645327c4b349e51280a2a1f877,52.631577,0,Unwelcome-Kiosk
54,YES,tyler-robinson-convicted-of-homicide,0x93c6fd4355aa4745566f1dd1d29a84683cef20f1,49.992219,0,Elaborate-Gallon
55,YES,tyler-robinson-convicted-of-homicide,0x53505b3d1fa4c06e0783fa63e6c274a6f1072002,46.511626,0,Rubbery-Quota
56,YES,tyler-robinson-convicted-of-homicide,0xcb31c048bf172520186bc50914e001698fcd17e6,46.511626,0,Superb-Bread
57,YES,tyler-robinson-convicted-of-homicide,0x483b6886d4b9451484e9a43db673efc56f262fc8,45.454544,0,Tasty-Learning
58,YES,tyler-robinson-convicted-of-homicide,0x222a1ea9a6ac99a416c3c22e35e872d3c819d5af,44.514781,0,Carefree-Fort
59,YES,tyler-robinson-convicted-of-homicide,0x7292d894b4a16887f06c03a7d2adbb0e76eaa636,42.55319,0,Well-Groomed-Brownie
60,YES,tyler-robinson-convicted-of-homicide,0xc8ebf18b307904f57b9600a6a29660ac3e5c19ca,42.55319,0,Dutiful-Boulevard
61,YES,tyler-robinson-convicted-of-homicide,0xd9c79cb0ef7611840c5c5f13c7a48140100a6dc4,42.55319,0,Grubby-Commercial
62,YES,tyler-robinson-convicted-of-homicide,0x0fddbb77710325fce9c1e85a6c318ce350dcf45a,40.816325,0,Sad-Finish
63,YES,tyler-robinson-convicted-of-homicide,0x239c2dfaf26316ce8201406b05385414123f7d7f,40.816325,0,Starchy-Prosecution-Executive
64,YES,tyler-robinson-convicted-of-homicide,0x3d79c3c3a12b66014c65ac0e0192d07c3f0931dc,40.816325,0,Lustrous-Receiver
65,YES,tyler-robinson-convicted-of-homicide,0xb767e41ca2d36b9f345febf9baca90f74dc69b28,34.090908,0,Clever-Magnitude
66,YES,tyler-robinson-convicted-of-homicide,0x1862565b058af27ec5caa2ce81a6401d7ef9e036,31.914892,0,Negative-Howard
67,YES,tyler-robinson-convicted-of-homicide,0x5c1b2689be4b6d3a7917a9c76c778fe191364b4f,30.0,0,Costly-Buyer
68,YES,tyler-robinson-convicted-of-homicide,0x6f92155890baa2785ed4ba84f2e0d9d3f6e37379,30.0,0,Full-Toilet
69,YES,tyler-robinson-convicted-of-homicide,0x1816373b4c98abc5b6f4ebc919b85652ce8bd72b,26.315788,0,Stiff-Participation
70,YES,tyler-robinson-convicted-of-homicide,0x035909645bcec546a6814956c2be7f82c080a079,25.641024,0,Wry-Lumberman
71,YES,tyler-robinson-convicted-of-homicide,0xa04dcad1ecd55091d02d5191fa779870b082c775,23.809522,0,Faint-Steak
72,YES,tyler-robinson-convicted-of-homicide,0xadb60a1a1ad865befc9de93643eed3be61705875,23.255812,0,Pastel-Inflation
73,YES,tyler-robinson-convicted-of-homicide,0xf1254ce5f133576e136a984d2103e6d8c90949d5,23.25581,0,Front-Security
74,YES,tyler-robinson-convicted-of-homicide,0x3a4e36fd3e86d0b63720bca069f1ffa04bdc5c16,22.727271,0,Somber-Chicory
75,YES,tyler-robinson-convicted-of-homicide,0x3133f1500dea518a9f7be4b131339a5c0bd6355f,21.276594,0,Ordinary-Girl
76,YES,tyler-robinson-convicted-of-homicide,0x404bffa70dce5eb713bab7bea08eb212a29ede15,21.276594,0,Knowing-Implementation
77,YES,tyler-robinson-convicted-of-homicide,0x8b9a16b38c48871b1b520bc1a6da49a30fe74a3d,21.276594,0,Infinite-Front
78,YES,tyler-robinson-convicted-of-homicide,0xd77c367c98d4e9f7a229ca075e0559ad778ee268,21.276594,0,That-Pocketbook
79,YES,tyler-robinson-convicted-of-homicide,0xcece2f5f75676c11ca0151a70507e045ca63a1e7,21.038276,0,
