,ai_guess,count,percentage
0,sports,6609,24.13453111305872
1,elections_global_and_domestic,4636,16.929593923458956
2,usa_iran_conflict,4069,14.859041776219689
3,tech,2451,8.95048203330412
4,crypto_currencies,2247,8.205521472392638
5,political_issues_except_us_elections,1838,6.711948583114228
6,pop_culture_and_entertainment,1732,6.324861232836692
7,other,1218,4.447852760736196
8,geopolitics_except_elections,1173,4.283523225241017
9,crime,496,1.8112766579024249
10,war_events,475,1.7345895413380077
11,gaming,440,1.6067776803973124
