,side,market,wallet,shares,yes_no_index,pseudonym
200,YES,diddy-found-guilty-of-sex-trafficking,0xc1b02266e94b87473cd4e38a61f13c69bf5a4535,131519.0,0,Squiggly-Bonding
201,YES,diddy-found-guilty-of-sex-trafficking,0x2e7f06e8b568b9a04e152a549500e6a54f99b1d4,36258.0,0,
202,YES,diddy-found-guilty-of-sex-trafficking,0x65bf3bfd2cd0506e8e41752a01e7af7817c94b91,6000.0,0,Masculine-Pinot
203,YES,diddy-found-guilty-of-sex-trafficking,0x157fa171d15d3b9f9783a0c3f8700c95a12b5b27,4386.0,0,
204,YES,diddy-found-guilty-of-sex-trafficking,0xcf7c3d0c796b2aaaccfd613236431a0ec7cdf2cb,3000.0,0,Menacing-Hope
205,YES,diddy-found-guilty-of-sex-trafficking,0x7fda167dcaa5ffe2c6c34791c103c4bfcee3e430,2600.0,0,Rigid-Weight
206,YES,diddy-found-guilty-of-sex-trafficking,0xf6d8e74e76e79dcc7061c20824113cec164114ab,1504.0,0,Whopping-Manufacturing
207,YES,diddy-found-guilty-of-sex-trafficking,0xccdac3c7b285bb9402bee9e0e58fe76480af4937,1243.0,0,Overcooked-Diaphragm
208,YES,diddy-found-guilty-of-sex-trafficking,0x00fa1da7d2b8baa703a1d3554b5d1338be9030be,857.0,0,Delirious-Buzzard
209,YES,diddy-found-guilty-of-sex-trafficking,0x477a7d28ed844984088129207c0afcb2459e2d8e,450.0,0,Fair-Record
210,YES,diddy-found-guilty-of-sex-trafficking,0x35c0732e069faea97c11aa9cab045562eaab81d6,407.0,0,
211,YES,diddy-found-guilty-of-sex-trafficking,0xf11d42ec96fd50a691687ef39f66b3787617f962,394.0,0,Bare-Copy
212,YES,diddy-found-guilty-of-sex-trafficking,0x25e107f7f4122b6a3ff5737f2d2066d6068c8f10,310.0,0,Vigilant-Bellows
213,YES,diddy-found-guilty-of-sex-trafficking,0x015f567430a123d3c311cb2fc853882a71eb30d1,268.0,0,Creepy-Committee
214,YES,diddy-found-guilty-of-sex-trafficking,0x12e33069862981ddfa575add0fecb01fd4fdd344,235.0,0,Extroverted-Orator
215,YES,diddy-found-guilty-of-sex-trafficking,0x35fc2d1f20aa94958f6eff59f4ef17dd7375c478,229.0,0,Double-Underpass
216,YES,diddy-found-guilty-of-sex-trafficking,0xe0f56787a76071ad98c8ed515c0470aae1a14969,168.0,0,Unripe-Buy
217,YES,diddy-found-guilty-of-sex-trafficking,0xb277caba4e804dabea8acdcb6b6b9880af69d809,148.0,0,Velvety-Museum
218,YES,diddy-found-guilty-of-sex-trafficking,0x654b36dfd8f9054bae081813835107a680f0c791,147.0,0,Squiggly-Manufacturing
219,YES,diddy-found-guilty-of-sex-trafficking,0x5d8be066740821139f610a29e4bb1bb3d6d40651,147.0,0,Spiteful-Halibut
220,YES,diddy-found-guilty-of-sex-trafficking,0x1d1f3acc027046b0e0e4fa0fe8fbe1e2320fb532,143.0,0,Compassionate-Cement
221,YES,diddy-found-guilty-of-sex-trafficking,0x807ff3185228b4d3045118e4d340add3f31dbad6,126.0,0,Optimistic-Snob
222,YES,diddy-found-guilty-of-sex-trafficking,0x7e16e55f9f2b13190cad25a12eb748f0a8c235f5,83.0,0,Envious-Dynamo
223,YES,diddy-found-guilty-of-sex-trafficking,0xa9e5bba641fc797f1674811836416da71bbf2568,80.0,0,Left-Functionality
224,YES,diddy-found-guilty-of-sex-trafficking,0xa422dd254116d54c9ea48c84c0e3ca8065da66fd,70.0,0,Handy-Exception
225,YES,diddy-found-guilty-of-sex-trafficking,0xb41ba249dd8d92f6cf23888370b4a19e1b846f80,69.0,0,Key-Boot
226,YES,diddy-found-guilty-of-sex-trafficking,0x12c4b8ab7c4f48ffd6e5a3028b514ca67de99ba7,61.0,0,Infantile-Dragonfly
227,YES,diddy-found-guilty-of-sex-trafficking,0x24255474f9ada3b05b467528b14ec901b10def83,56.0,0,Welcome-Minute
