,side,market,wallet,shares,yes_no_index,pseudonym
0,YES,tyler-robinson-convicted-of-homicide,0xa7a6cd5399040aa661ee595f4421337d80188117,10516.0,0,Unsteady-Drake
1,NO,tyler-robinson-convicted-of-homicide,0xe4de861d59e174d3d153a5968bc122c66f30c949,10000.0,1,Firsthand-Offense
2,YES,tyler-robinson-convicted-of-homicide,0xf44dcf50490507a44a6244dc07f50686e71060af,6141.0,0,Recent-Eveningwear
3,NO,tyler-robinson-convicted-of-homicide,0x00d1bfdb216e363bdb1a04dc02865a4dd99ec8a4,5987.0,1,Any-Adviser
4,NO,tyler-robinson-convicted-of-homicide,0x96f795d0821b75a1c7f886b2c1cd49d108b7d6ae,5153.0,1,Weekly-Accounting
5,YES,tyler-robinson-convicted-of-homicide,0x44fccfc4f7653fc79c386d1bcb2181d730a4ac29,4881.0,0,Clean-Windscreen
6,NO,tyler-robinson-convicted-of-homicide,0xb1ca909e848cc24ec4e220ce1c453bc290c51705,3751.0,1,Awesome-Availability
7,YES,tyler-robinson-convicted-of-homicide,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,3294.0,0,Hideous-Racer
8,YES,tyler-robinson-convicted-of-homicide,0xfc1490c043e5ed6ec2ce7ea003e6b540b0eb2e9b,3190.0,0,Bountiful-Clinic
9,NO,tyler-robinson-convicted-of-homicide,0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250,3088.0,1,Exalted-Beam
10,YES,diddy-found-guilty-of-sex-trafficking,0xc1b02266e94b87473cd4e38a61f13c69bf5a4535,131519.0,0,Squiggly-Bonding
11,YES,diddy-found-guilty-of-sex-trafficking,0x2e7f06e8b568b9a04e152a549500e6a54f99b1d4,36258.0,0,
12,YES,diddy-found-guilty-of-sex-trafficking,0x65bf3bfd2cd0506e8e41752a01e7af7817c94b91,6000.0,0,Masculine-Pinot
13,YES,diddy-found-guilty-of-sex-trafficking,0x157fa171d15d3b9f9783a0c3f8700c95a12b5b27,4386.0,0,
14,YES,diddy-found-guilty-of-sex-trafficking,0xcf7c3d0c796b2aaaccfd613236431a0ec7cdf2cb,3000.0,0,Menacing-Hope
15,YES,diddy-found-guilty-of-sex-trafficking,0x7fda167dcaa5ffe2c6c34791c103c4bfcee3e430,2600.0,0,Rigid-Weight
16,YES,diddy-found-guilty-of-sex-trafficking,0xf6d8e74e76e79dcc7061c20824113cec164114ab,1504.0,0,Whopping-Manufacturing
17,YES,diddy-found-guilty-of-sex-trafficking,0xccdac3c7b285bb9402bee9e0e58fe76480af4937,1243.0,0,Overcooked-Diaphragm
18,YES,diddy-found-guilty-of-sex-trafficking,0x00fa1da7d2b8baa703a1d3554b5d1338be9030be,857.0,0,Delirious-Buzzard
19,YES,diddy-found-guilty-of-sex-trafficking,0x477a7d28ed844984088129207c0afcb2459e2d8e,450.0,0,Fair-Record
