,side,market,wallet,shares,yes_no_index,pseudonym
0,YES,tyler-robinson-convicted-of-homicide,0xa7a6cd5399040aa661ee595f4421337d80188117,10516.0,0,Unsteady-Drake
100,NO,tyler-robinson-convicted-of-homicide,0xe4de861d59e174d3d153a5968bc122c66f30c949,10000.0,1,Firsthand-Offense
1,YES,tyler-robinson-convicted-of-homicide,0xf44dcf50490507a44a6244dc07f50686e71060af,6141.0,0,Recent-Eveningwear
101,NO,tyler-robinson-convicted-of-homicide,0x00d1bfdb216e363bdb1a04dc02865a4dd99ec8a4,5987.0,1,Any-Adviser
102,NO,tyler-robinson-convicted-of-homicide,0x96f795d0821b75a1c7f886b2c1cd49d108b7d6ae,5153.0,1,Weekly-Accounting
2,YES,tyler-robinson-convicted-of-homicide,0x44fccfc4f7653fc79c386d1bcb2181d730a4ac29,4881.0,0,Clean-Windscreen
103,NO,tyler-robinson-convicted-of-homicide,0xb1ca909e848cc24ec4e220ce1c453bc290c51705,3751.0,1,Awesome-Availability
3,YES,tyler-robinson-convicted-of-homicide,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,3294.0,0,Hideous-Racer
4,YES,tyler-robinson-convicted-of-homicide,0xfc1490c043e5ed6ec2ce7ea003e6b540b0eb2e9b,3190.0,0,Bountiful-Clinic
104,NO,tyler-robinson-convicted-of-homicide,0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250,3088.0,1,Exalted-Beam
105,NO,tyler-robinson-convicted-of-homicide,0x2b9dbf4b6e0e11309a9d6d2a09b72f65f652adc0,3073.0,1,Each-Jeans
5,YES,tyler-robinson-convicted-of-homicide,0xd816393119a297874bff7304b9e222101f5a6c0f,2748.0,0,Ajar-Alarm
106,NO,tyler-robinson-convicted-of-homicide,0x1f9e15f39bbd5d163b0eacf0fbef647ced9e4f1a,2669.0,1,Wan-Gymnastics
107,NO,tyler-robinson-convicted-of-homicide,0x760907c8840491c8c86fddb843d3f1d801786c4e,2500.0,1,Odd-Deformation
6,YES,tyler-robinson-convicted-of-homicide,0x7e31a5e9c31638483614e9fd9f945bb34692454d,2500.0,0,Unlucky-Pounding
108,NO,tyler-robinson-convicted-of-homicide,0xac4a1fabdac2438d6afa2a9e8e83845310a0bf1e,2103.0,1,Charming-Grape
7,YES,tyler-robinson-convicted-of-homicide,0x0b644e443a404159a7b5ca4650cf2444b13549bd,2000.0,0,Homely-Amenity
109,NO,tyler-robinson-convicted-of-homicide,0x524db836890e08aceb3abcdee98d44240e324495,1793.0,1,Distant-Inhibitor
110,NO,tyler-robinson-convicted-of-homicide,0x7e35a2a8cfd1eb1e69dacd043206db5a787f1a6c,1537.0,1,Unfit-Hardboard
8,YES,tyler-robinson-convicted-of-homicide,0xc22e6f366c977b213b0e0ea2583072aadaba54eb,1378.0,0,Academic-Sherbet
111,NO,tyler-robinson-convicted-of-homicide,0x5fa44ddbefd7c2962719dfbe14b9f164104dcd4e,1000.0,1,Scrawny-Venture
9,YES,tyler-robinson-convicted-of-homicide,0x0f2bcf469f85fe746058f3a0767d24124d0d665a,1000.0,0,Light-Hygienic
10,YES,tyler-robinson-convicted-of-homicide,0xf17cd97d0316fd7c57b38db85a35548fd8a70c29,974.0,0,Snappy-Warden
11,YES,tyler-robinson-convicted-of-homicide,0xe6fd18067d9b8768ee4dc45e926cf54867288bc3,800.0,0,Easy-Koala
112,NO,tyler-robinson-convicted-of-homicide,0xbfbb9bdd654cb928a1b7b36e994bd53512a4dc2b,800.0,1,Silent-Deck
12,YES,tyler-robinson-convicted-of-homicide,0xd5b97d08ec6098407bfbf66c2786ccc9967fe44e,736.0,0,Trained-Sniffle
13,YES,tyler-robinson-convicted-of-homicide,0x32d1623dddbd4841a98da71e47f0436d2ef2b949,705.0,0,Dear-Hypothesis
113,NO,tyler-robinson-convicted-of-homicide,0x38390d45f459a7c4b413eb6e78bd57dbf8e7e2ee,673.0,1,Immense-Gymnast
14,YES,tyler-robinson-convicted-of-homicide,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,636.0,0,Kaleidoscopic-Hemisphere
15,YES,tyler-robinson-convicted-of-homicide,0x3052776d06122dde8e1a86f2ed9defb97940232a,603.0,0,
16,YES,tyler-robinson-convicted-of-homicide,0xae2b0aaea325a32870f56ff19df3b87acaa190ea,576.0,0,Crowded-Jackal
17,YES,tyler-robinson-convicted-of-homicide,0x15fbd312f1925882ef83ba5aa69d7e2e5f6b252d,558.0,0,Loving-Conclusion
18,YES,tyler-robinson-convicted-of-homicide,0xc7d02944a76b9f83b199e9090ecc92c82d241f8a,546.0,0,Flamboyant-Warming
19,YES,tyler-robinson-convicted-of-homicide,0xeca0c0888e34df59589c67fbe53dc7f298b5e8f8,517.0,0,Weird-Freedom
