,side,shares,Trade Group
0,NO,10000.0,All Traders
1,YES,7357.0,All Traders
2,YES,6141.0,All Traders
3,NO,5734.0,All Traders
4,YES,4881.0,All Traders
5,NO,4463.0,All Traders
6,YES,3500.0,All Traders
7,NO,3073.0,All Traders
8,NO,2953.0,All Traders
9,YES,2748.0,All Traders
10,NO,2710.0,All Traders
11,YES,2600.0,All Traders
12,YES,2500.0,All Traders
13,NO,2500.0,All Traders
14,YES,2000.0,All Traders
15,NO,1793.0,All Traders
16,YES,1562.0,All Traders
17,NO,1437.0,All Traders
18,NO,1000.0,All Traders
19,YES,836.0,All Traders
20,YES,800.0,All Traders
21,NO,800.0,All Traders
22,YES,796.0,All Traders
23,YES,736.0,All Traders
24,NO,673.0,All Traders
25,YES,603.0,All Traders
26,YES,576.0,All Traders
27,YES,558.0,All Traders
28,YES,546.0,All Traders
29,YES,500.0,All Traders
30,NO,500.0,All Traders
31,NO,480.0,All Traders
32,NO,460.0,All Traders
33,YES,398.0,All Traders
34,YES,373.0,All Traders
35,NO,349.0,All Traders
36,NO,320.0,All Traders
37,NO,310.0,All Traders
38,NO,207.0,All Traders
39,YES,200.0,All Traders
40,YES,200.0,All Traders
41,NO,185.0,All Traders
42,YES,182.0,All Traders
43,NO,182.0,All Traders
44,YES,180.0,All Traders
45,NO,148.0,All Traders
46,NO,146.0,All Traders
47,NO,145.0,All Traders
48,NO,129.0,All Traders
49,YES,120.0,All Traders
50,NO,115.0,All Traders
51,YES,100.0,All Traders
52,NO,100.0,All Traders
53,NO,100.0,All Traders
54,YES,100.0,All Traders
55,NO,100.0,All Traders
56,YES,100.0,All Traders
57,NO,96.0,All Traders
58,NO,96.0,All Traders
59,YES,84.0,All Traders
60,NO,83.0,All Traders
61,YES,77.0,All Traders
62,NO,75.0,All Traders
63,NO,72.0,All Traders
64,YES,70.0,All Traders
65,YES,69.0,All Traders
66,NO,67.0,All Traders
67,YES,65.0,All Traders
68,YES,60.0,All Traders
69,NO,58.0,All Traders
70,NO,54.0,All Traders
71,YES,53.0,All Traders
72,YES,51.0,All Traders
73,NO,50.0,All Traders
74,YES,47.0,All Traders
75,YES,47.0,All Traders
76,NO,47.0,All Traders
77,YES,45.0,All Traders
78,NO,45.0,All Traders
79,NO,44.0,All Traders
